Query Number;Iteration;Document ID;Rank Position;Relevance Score;Model Run
1 0 2 1 0.34603658937934223 vsm_run
1 0 1084 2 0.27954017455515867 vsm_run
1 0 106 3 0.26450185216344024 vsm_run
1 0 494 4 0.23575439699138723 vsm_run
1 0 1253 5 0.23354029872951165 vsm_run
1 0 445 6 0.22987761303699117 vsm_run
1 0 298 7 0.22446410571743622 vsm_run
1 0 309 8 0.21893359268368245 vsm_run
1 0 663 9 0.21593197127551922 vsm_run
1 0 1112 10 0.21576449749415086 vsm_run
1 0 752 1 0.2432063554404033 vsm_run
1 0 1062 2 0.22342642801401438 vsm_run
1 0 1243 3 0.21744379965217608 vsm_run
1 0 794 4 0.2124564681909964 vsm_run
1 0 289 5 0.2087580024572872 vsm_run
1 0 924 6 0.2045856422884154 vsm_run
1 0 432 7 0.20251000652193216 vsm_run
1 0 433 8 0.1956285646631812 vsm_run
1 0 1239 9 0.1940761644617634 vsm_run
1 0 696 10 0.18987825069733577 vsm_run
